,batch_size,lr,epochs,train_acc,val_acc,train_loss,val_loss,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1
0,16,5e-05,4,95.922119140625,95.8583984375,0.19386959373950957,0.18777523159980775,0.8927288655278143,0.8392752776154295,0.6523798854069972,0.7095738109944411,0.7538606646816223,0.7689939085614834
0,16,3e-05,4,94.753173828125,95.0986328125,0.26018517643213274,0.233058180809021,0.8860432330827067,0.8536406878887669,0.48774493953307896,0.5847850607845595,0.629155370177268,0.6940870211974712
0,16,2e-05,4,93.44775390625,94.064453125,0.33299586921930313,0.30797104477882387,0.8963098505641964,0.7798604187437687,0.2847776234617745,0.5419149230982403,0.4322270699544095,0.6394702419882276
0,16,5e-05,3,93.30419921875,94.3681640625,0.34301550209522247,0.2816653525829315,0.8915806626833243,0.8543181818181819,0.2657535133734862,0.4845945597524816,0.4094594257489959,0.6184091469935017
0,32,5e-05,4,93.263671875,94.068359375,0.3390416586399078,0.30507421493530273,0.89298069411896,0.8304726075711263,0.26286915672941097,0.486367391903057,0.4061722755190092,0.6134607034303083
0,16,5e-05,2,92.45654296875,93.853515625,0.39947706878185274,0.3054033589363098,0.8721370244971122,0.8662708510036754,0.1359642313782718,0.3843452082288008,0.23525303534973677,0.5324528629768007
0,16,3e-05,3,92.121337890625,93.30078125,0.42286611914634703,0.36842748403549197,0.8781190019193857,0.8659197687025659,0.08552467597208376,0.30698270339525946,0.15586849128385669,0.4532727960650776
0,16,2e-05,3,91.860595703125,92.72265625,0.4344001519680023,0.3891333556175232,0.8454157782515992,0.8580709645177411,0.04848818368033263,0.21861471861471862,0.09171606187653607,0.3484525621511923
0,32,3e-05,4,91.750732421875,92.3134765625,0.45053460121154787,0.42664421439170835,0.8983050847457628,0.8794910179640718,0.028151558073654392,0.1497005988023952,0.05459227467811159,0.2558519324986391
0,16,3e-05,2,91.683349609375,92.08984375,0.48009732365608215,0.42222244024276734,0.8492647058823529,0.9215896885069818,0.02045937647614549,0.10422740524781342,0.039956180811808115,0.1872749099639856
0,32,5e-05,3,91.6796875,92.05078125,0.4684178447723389,0.4241521906852722,0.8363636363636363,0.9461077844311377,0.021053273936657107,0.096435546875,0.04107265097175511,0.17503046416306636
0,32,3e-05,3,91.65087890625,91.9072265625,0.4859864771366119,0.446720507144928,0.878682842287695,0.9129834254143646,0.015071791670382593,0.08251154662339283,0.029635258358662615,0.15134516313680596
0,32,2e-05,4,91.57470703125,91.578125,0.4912857985496521,0.46714101791381835,0.8078817733990148,0.9116719242902208,0.0047918188458729,0.03480250481695568,0.009527129080980598,0.06704558635889107
0,32,2e-05,3,91.541259765625,91.3154296875,0.5427089416980744,0.5225914454460144,0.0,0.36666666666666664,0.0,0.0013075002971591585,0.0,0.0026057088712542935
0,16,2e-05,2,91.5439453125,91.3193359375,0.547002199292183,0.5192101562023163,0.4,0.25,5.778509722342608e-05,0.0002278682921271505,0.00011555350127108852,0.0004553215708594195
0,32,5e-05,2,91.544189453125,91.3251953125,0.5445436179637909,0.5111779677867889,,1.0,0.0,0.00022512381809995497,0.0,0.00045014629754670267
0,32,3e-05,2,91.544189453125,91.3232421875,0.5748451638221741,0.5527320218086242,0.0,0.0,0.0,0.0,0.0,0.0
0,32,2e-05,2,91.544189453125,91.3232421875,0.5940672922134399,0.5742967128753662,0.0,0.0,0.0,0.0,0.0,0.0
